comments,date,translated_comments,cleaned_comments
Goog job Mr szaldy co sana lahat Ng sinabi mo ay totoo para malinis Ang pangalan mo sa mga kababayan mong pilipino kung totoo lahat sinasabi mo magiingat ka dahil Hindi Niro Ang mga buwayang kalaban mo,11/19/2025,Goog job Mr szaldy co I hope everything you said is true to clean Your name among your fellow Filipinos if everything you say is true be careful because it's not Niro The crocodiles are your enemy,goog job mr szaldy co hope everything said true clean name among fellow filipino everything say true careful niro crocodile enemy
Bakit kc hnd ka bumalik pilipinas patunayan mo sa billion pera mo kaya mo magbayad 1000 buadyguard nakita namin kay jesica soho gaano ka kayaman,11/19/2025,"Why can't you come back to the Philippines, prove with billions of money that you can pay 1000 bodyguards, we saw in Jesica Soho how rich you are",cant come back philippine prove billion money pay 1000 bodyguard saw jesica soho rich
dapat meron din videos and pictures sa kga bukas na maleta na makikita ang laman. Tapos video and pictures ng pag received.,11/19/2025,there should also be videos and pictures of the open suitcase where the contents can be seen. Then video and pictures of receiving.,also video picture open suitcase content seen video picture receiving
Sabihin mo rin na binayaran ninyo mga general para hindi sila mag aklas sa gobyerno,11/19/2025,Also say that you paid the generals so that they would not strike against the government,also say paid general would strike government
Ngpapaslmat kmi mtapang m pinnindigan at pinglban lhat pra mlmn ng lhat,11/19/2025,Thank you for the courage to stand up and protect everything before everything,thank courage stand protect everything everything
Live stream naman po sana para mahimasmasan ung ibang tao,11/22/2025,I hope it's a live stream so other people can watch it,hope live stream people watch
Curious kami kung binayaran nyo ba si torre para kidnapin si prrd st ipadala sa the hague..ilang maleta.,11/19/2025,We are curious if you paid torre to kidnap prrd st and send it to the hague..some suitcases.,curious paid torre kidnap prrd st send haguesome suitcase
Kala mo ka Santo. Papayag ka bang wala Kang makukuhang kapalit sa pinagawa sayo,11/19/2025,You are a Saint. Will you agree that you will not get anything in return for what was done to you?,saint agree get anything return done
tapangan mo lng zaldy co,11/19/2025,just be brave zaldy co,brave zaldy co
naka follow na po ako idol zaldy baka pwedi umutang,11/19/2025,"I already follow idol Zaldy, maybe I can borrow",already follow idol zaldy maybe borrow
Priso pud ka bayota ka.,11/19/2025,"You are also in prison, you are gay.",also prison gay
Ulul pangit mong gumanap,11/19/2025,Ulul you performed badly,ulul performed badly
Alam nming may Alas ka jan at ilalabas sa tadang oras.,11/19/2025,We know you have Alas and will be released at the appointed time.,know ala released appointed time
Maniniwala lang syo yung mga sangkot sa pagnanakaw,11/19/2025,You will only believe those involved in theft,believe involved theft
sir mag live Ka para dama nila,11/19/2025,sir go live so they can feel it,sir go live feel
May pa uncut version kpa tlga hahaha penge naman kahit 5million lang pang panimula,11/19/2025,"There's still an uncut version, hahaha, even if it's only 5 million to begin with",there still uncut version hahaha even 5 million begin
"kumanta ka na boi,para patas na kayo wagka na palugi ..",11/19/2025,"sing, boy, to be fair, don't lose money..",sing boy fair dont lose money
ANG YAGAL NG PART 4,11/22/2025,THE YAGAL OF PART 4,yagal part 4
Mag live po kayo Cong para maniwala sila kasi AI lang daw ito..,11/19/2025,Go live Cong so they can believe because they say it's just AI..,go live cong believe say ai
𝘔𝘪𝘴𝘮𝘰𝘯𝘨 𝘱𝘢𝘨𝘦 𝘯𝘪𝘺𝘢,11/19/2025,𝘔𝘪𝘴𝘮𝘰𝘯𝘨 𝘱𝘢𝘨𝘦 𝘯𝘪𝘺𝘢,𝘔𝘪𝘴𝘮𝘰𝘯𝘨 𝘱𝘢𝘨𝘦 𝘯𝘪𝘺𝘢
"Gingawa nya gnawa nila sa kanya, kaya namayat yan kalaixip, ngaun panic mode na sila",11/19/2025,"He made them do it to him, that's why he lost weight, now they are in panic mode",made thats lost weight panic mode
Sana po gabayan ka ng ating Panginoon dahil sa paglalantad mo sa mga nalalaman mo,11/19/2025,I hope our Lord will guide you for exposing what you know,hope lord guide exposing know
AI YAN WAG KAYI MANIWALA SABI NI ANTE CLER,11/19/2025,"DON'T BELIEVE THAT, SAID ANTE CLER",dont believe said ante cler
Naputol na yung broadcast ni vegapunk sa latest episode,11/19/2025,vegapunk's broadcast has been interrupted in the latest episode,vegapunks broadcast interrupted latest episode
sabihin muna lahat rep.zaldy co para,11/19/2025,first tell everything rep. zaldy co para,first tell everything rep zaldy co para
May binabasang kodigo..,11/19/2025,A code is being read..,code read
Porket nagkakalaglagan na. ipapalabas mong biktima ka? aminin nyo na kase na kurakot kayo,11/19/2025,Porket is falling apart. you're going to show you're a victim? admit that you are corrupt,porket falling apart youre going show youre victim admit corrupt
Umuwi ka at doon ka sa senado magbigay ng salaysay mo. Para kayong teleserye e.,11/19/2025,Go home and give your statement in the senate. It's like a teleserye.,go home give statement senate like teleserye
"Dati mahal ka nila Noong hina hagupit mo si VP Sara , ngayong si rumualdez at Marcos na Ang binanatan mo kalaban kana nila.",11/19/2025,"They used to love you When you were whipping VP Sara, now that Rumualdez and Marcos are your enemies.",used love whipping vp sara rumualdez marcos enemy
"If you must be telling the truth, it is only right that you always inform the people of your situation, especially before you return to the Philippines.",11/19/2025,"If you must be telling the truth, it is only right that you always inform the people of your situation, especially before you return to the Philippines.",must telling truth right always inform people situation especially return philippine
Cgurado na hinu hunting ka ngayon... Kaya dapat more solid evidence pa maipakita mo.. video na naglalagay ng pera sa maleta... para klaro at cgurduhing di nila ma deny na AI... yan kasi ang palusot nila.. na AI...,11/19/2025,I'm sure you're hunting now... So you should show more solid evidence.. video of putting money in the suitcase... so it's clear and sure they can't deny AI... because that's their excuse.. that AI...,im sure youre hunting show solid evidence video putting money suitcase clear sure cant deny ai thats excuse ai
Bakit balik balik ito salita mo,11/19/2025,Why are you saying this again and again?,saying
Pakibilisan po paglalabas ng iba pang ebidensya. May mga sagot na sila..,11/19/2025,Please speed up the release of other evidence. They have answers..,please speed release evidence answer
May Bayag tong taong To!!!,11/19/2025,This guy has a town!!!,guy town
Kgndang AI my anino sa likod,11/19/2025,Kngdang AI my shadow behind,kngdang ai shadow behind
Nakagelicopter ka habang lumutang sa baha co galing.,11/19/2025,You are on a helicopter while floating in the flood.,helicopter floating flood
End now the end is near,11/19/2025,End now the end is near,end end near
Ingatan nawa po kayo,11/19/2025,May you be careful,may careful
parang elementary amp,11/19/2025,like elementary and,like elementary
"pareng zaldy,wag kang papayag na ikaw lang ididiin nila,ikanta mo na lahat at ilabas mo na resibo,kakampi ni martin at bbm sng SP at BRC..ikaw lang gusto nila managot..wag kang papayag",11/19/2025,"pareng zaldy, don't allow them to put pressure on you, sing everything and release the receipt, martin and bbm are allies of SP and BRC.. they only want you to be responsible.. don't allow it",pareng zaldy dont allow put pressure sing everything release receipt martin bbm ally sp brc want responsible dont allow
"Paayos po ng SCRIPT , paano mag iinsert ang president sa bicam ehh sa kanya nagggaling or sila gumagawa ng budget the Executive department yan yung National Expenditure Program (NEP) . sa sinasubmit sa congress and kayong mga congressman at senador ang nag iinsert TAMA DIBA? Ginagawa mo naman palpal / Tan*a ang mamayan/mga pilipino.",11/20/2025,"Fix the SCRIPT, how will the president insert it into bicam, it comes from him or they make the budget the Executive department that is the National Expenditure Program (NEP). in what is being submitted to congress and you congressmen and senators are the ones who insert it RIGHT RIGHT? You are making a fool of the people/Filipinos.",fix script president insert bicam come make budget executive department national expenditure program nep submitted congress congressman senator one insert right right making fool peoplefilipinos
Ikaw na lang ung vlogger na laging inaabangan ko ...more vids pleaseeeeee,11/19/2025,You are the only vlogger I always look forward to...more vids pleaseeeeee,vlogger always look forward tomore vids pleaseeeeee
Di kame pinanganak kahapun...uwe kanalng dalhin mo lahat ibidensia..,11/19/2025,"I wasn't born yesterday... well, you should bring everything to Edensia..",wasnt born yesterday well bring everything edensia
kasi nabulgar na..pero paano mo ippaliwanag ang yaman mo eh congressman k lng nman po,11/20/2025,"because it's been exposed..but how can you explain your wealth, congressman?",exposedbut explain wealth congressman
Toa ra naa nasb moingon ug AI mga bosit,11/19/2025,"It's like someone saying AI, you fools",like someone saying ai fool
Kler.. eto na.. mglinis ka uli.,11/19/2025,Kler.. here it is.. clean up again.,kler clean
"COng.,,,, naniwala talaga kami sayo,, pero pag may mangyayari sayo, alams na,,",11/19/2025,"COng.,,,, we really believed in you,, but if something happens to you, we already know,,",cong really believed something happens already know
susss buko kana huli cam ka,11/19/2025,susss that's a knuckle too late cam you,susss thats knuckle late cam
Gising,11/19/2025,awake,awake
Dati parang gusto na kiting patayn Co.piro ngayn ikaw ang boss ko.ang maipapayo ko sa iyo huwag na huwag kang umuwi magtago kana.i video monalang lahat lahat ng alam mo na baho sa admin na ito pati yong mga style ng mga kasama mo na mga tongresman total nilaglag kana nila kanina.,11/19/2025,I used to feel like I wanted to kill you Co. But now you are my boss. What I can advise you is don't ever go home and hide that. I video monala all of you know that this admin stinks as well as the styles of your friends who are Tongresman they totally dropped it earlier.,used feel like wanted kill co bos advise dont ever go home hide video monala know admin stink well style friend tongresman totally dropped earlier
"Sir kailangan humanap ka ng kakampi sir, pumunta ka sa mga ibang nation sir ibigay mo LAHAT ng evidenxa at humngi ka ng tulong para sa Mamayan, ipakota mo rin Ang rally noong Nov 16 17 para maniwala Ang nation na pupuntahan mo na we need to change our leader",11/21/2025,"Sir, you need to find an ally, sir, go to other nations, sir, give ALL the evidence and ask for help for the people, also promote the rally on Nov 16 17 to make the nation you are going to believe that we need to change our leader",sir need find ally sir go nation sir give evidence ask help people also promote rally nov 16 17 make nation going believe need change leader
Good job sir,11/24/2025,Good job sir,good job sir
Ibunyag mo Rin na nag bayaran sa impeachment ni sara,11/19/2025,Also reveal who paid for Sara's impeachment,also reveal paid saras impeachment
Malabong hindi ka din nagnakaw,11/19/2025,It's unlikely you didn't steal either,unlikely didnt steal either
Pa send naman ng before and after na picture nyo cong. Ai daw kase video nyo,11/23/2025,"Still send your before and after pictures, cong. It's your video",still send picture cong video
I don't believe you....,11/19/2025,I don't believe you....,dont believe
Wala bang next video Cong?,11/21/2025,Is there no next video Cong?,next video cong
sana po ikante mo pati yung pag aresto kay tatay Digong at planong pag impeach kay Sarah,11/19/2025,I hope you will also sing about the arrest of father Digong and the plan to impeach Sarah,hope also sing arrest father digong plan impeach sarah
Kala ko sa pelikula lang to mapapanuod. Yung tipong papatakasin ka papuntang ibang bansa tapos tatraydorin ka ng mga kasamahan mo kaya ang gagawin mo ilalaglag mo rin sila kasi hindi pwedeng ikaw lang ang madidiin. siwalat mo na yan lahat Zaldy. Wag ka lang umuwi dahil baka maging pangalan mo yung airport ng Pinas. patay ka ngaun sa mga Boss mo.,11/19/2025,"I used to be able to watch it only in movies. The kind that will send you to another country and then your colleagues will betray you, so what you will do is drop them too because you can't be the only one to be stressed. You have revealed it all, Zaldy. Just don't go home because the airport of the Philippines might become your name. You are dead to your bosses.",used able watch movie kind send another country colleague betray drop cant one stressed revealed zaldy dont go home airport philippine might become name dead boss
Sir bago pa po nila kayo mapatay or makulong ilabas muna po lahat ng ebedinsiya . Kasi nag sisimula na silang e arrest ka kasi alam nilang unti unti mong nilalavas ang ebedinsya kaya gumagawa na sila ng action at delikado po kung ma arrest ka nila short ako Shot to kill na yan. Kaya habang mas maaga pa e labas mona ebedinsxa wag mo unti untiin,11/23/2025,"Sir, before they kill you or imprison you, release all the evidence. Because they are starting to arrest you because they know that you are revealing the evidence little by little, so they are taking action and it is dangerous if they arrest you, that is a short shot to kill. So while it's still early, don't delay it",sir kill imprison release evidence starting arrest know revealing evidence little little taking action dangerous arrest short shot kill still early dont delay
maniwala ako sa sinabi ni zaldy co. kasi hindi naman nya magawa yan kung walang utos sa nakakataas sa kanya pero damay pa din sya kasi nagpagamit sya sa mga demonyo,11/19/2025,"I believe what zaldy co said. because he couldn't do that without an order from the one who raised him, but he still sympathized because he used the demons",believe zaldy co said couldnt without order one raised still sympathized used demon
Ingatan nyo Po Ang ibedensya wag muna kayong umuwi mahirap na,11/19/2025,"Be careful, the evidence is, don't go home, it's hard",careful evidence dont go home hard
Lubos lubusin mo rep. On the way na daw ang warrant mo,11/22/2025,Do it thoroughly rep. They say your warrant is on the way,thoroughly rep say warrant way
Zaldy ko ingat lng ho ikaw Ang alas ng taong bayan .,11/19/2025,"Zaldy, just be careful, you are the ace of the people.",zaldy careful ace people
Daming iyak nnaman dito sa comsec na mga loyalist bebe-em,11/19/2025,There is a lot of crying here in comsec loyalists bebe-em,lot cry comsec loyalist bebeem
Video recorder na lag ang magpapatunay sa mga sinasabi nya,11/19/2025,Video recorder lag will prove what he says,video recorder lag prove say
sa resibo na Cong puro kwento,11/19/2025,to the receipt Cong pure story,receipt cong pure story
Paki labas din ng mga insertion sa AFP Zaldy Co,11/19/2025,Please also remove the insertions in AFP Zaldy Co,please also remove insertion afp zaldy co
"Puro ka dada dyan... screenshot naman ng call ni Romwaldas yun may date kantiin mo naman maayos bagal mo ipapakulong ka na, no bail !!!",11/20/2025,"You're just going to be there... that's a screenshot of Romwaldas' call, there's a date, you can eat it well, if you're slow, you'll be sent to jail, no bail!!!",youre going thats screenshot romwaldas call there date eat well youre slow youll sent jail bail
Totoo toh ..sana gumising n kau mga kababayan! Maawa kau s kinabukasan ng mga anak natin! Cguro alam niya n may balak syang ipapatay kaya nagsalita n sya.. tignan nyo ung katawan nya..masyado n nahulog katawan nya..cguro s guilt n nararamdaman nya..,11/19/2025,It's true .. I hope you guys wake up! Have mercy on the future of our children! He must have known that he was planning to kill him so he spoke.. look at his body.. his body has fallen too much.. he must be feeling guilty..,true hope guy wake mercy future child must known planning kill spoke look body body fallen much must feeling guilty
Wag na wag Kang uuwi dahil baka maging ZALDY CO international airport ang NAIA..pwede mo IPA notary sa Philippine consulate abroad Yan testimony mo..saka wag Kang pumayag na Ikaw lang ang damay sa nakawan.,11/19/2025,Don't go home because NAIA might become ZALDY CO international airport..you can IPA notary at the Philippine consulate abroad That's your testimony..then don't agree that you are the only one involved in the robbery.,dont go home naia might become zaldy co international airportyou ipa notary philippine consulate abroad thats testimonythen dont agree one involved robbery
bawal ata siya mag love baka may naka abang mag trace sa location nya,11/19/2025,He is not allowed to make love because someone might try to trace his location,allowed make love someone might try trace location
"Sir, i hope sana matapus na to we know your scared.",11/19/2025,"Sir, i hope sana matapus na to we know your scared.",sir hope sana matapus na know scared
"Wag mong hayaang ikaw lang malaglag, ilaglag mo din mga kasama mo magnakaw",11/23/2025,"Don't let yourself be the only one to fall, let those who steal with you also drop",dont let one fall let steal also drop
Salamat sa initial pagbubunyag sa katutuhanan. We hope that there will be more information!,11/19/2025,Thanks for the initial revelation of the truth. We hope that there will be more information!,thanks initial revelation truth hope information
Ilabas muna Para makulong ang dapat makulong,11/19/2025,Let them out first To jail those who should be jailed,let first jail jailed
Asan un listahan nato? Sure na legit kapag dito inilabas.,11/20/2025,Assan unlitch? Shure of the leit here.,assan unlitch shure leit
Mag ingat ka nalang jan at mag tago sir.. ikulong natin yan sila pag si vp sarah na ang pangulo sa 2028. yung lifetime na kulong.,11/19/2025,Just be careful and hide sir.. let's lock them up when vp sarah is the president in 2028. the lifetime jail.,careful hide sir let lock vp sarah president 2028 lifetime jail
"rep, mag live ka nga.. potek sabi nila AI ka daw. haha sampal mu kay Inday Kler..",11/19/2025,"rep, you live .. potek say you are AI. haha slap Inday Kler.",rep live potek say ai haha slap inday kler
"When po ang live nyo, post nyo po, when...?",11/19/2025,"When will you go live, post, when...?",go live post
Tanong lang po sir. Yong bang cash out noong march 11 Yan yong ginamit sa pag papadala Kay FPRRD? Ingat po.,11/19/2025,Just a question sir. Is that the cash out on March 11 that was used to send to FPRRD? Be careful.,question sir cash march 11 used send fprrd careful
Cong oks ka pa ba? May arrest warrant ka na oh. Stop ka na po ba maglabas?,11/22/2025,Are you still ok? You have an arrest warrant. Have you stopped going out?,still ok arrest warrant stopped going
baka namnay bago kang ilabas pwede ilabas mo na,11/19/2025,"maybe before you take it out, you can take it out",maybe take take
Nag resign na ata si sec minah at bersamin,11/19/2025,Sec Minah and Bersamin have already resigned,sec minah bersamin already resigned
144000 lng kada tao,11/19/2025,144000 lg per person,144000 lg per person
Kailan ang next episode po?,11/20/2025,When is the next episode?,next episode
Nidagan Ang followers ni zaldy co,11/19/2025,The followers of zaldy co ran,follower zaldy co ran
Tama yang ginagawa mo Zaldy Co.,11/19/2025,You are doing the right thing Zaldy Co.,right thing zaldy co
"Hindi po AI, obvious naman po, may inangat na papel...may shadow, gumagalaw ang noo. Gagawa talaga sila ng paraan para patahimikin si Co",11/19/2025,"It's not AI, it's obvious, there's a lifted paper...there's a shadow, the forehead is moving. They will really go out of their way to silence Co",ai obvious there lifted papertheres shadow forehead moving really go way silence co
"Elabas muna lahat Zaldy Co, wag mo antayin na mapatay ka nila na hindi malalaman ng lahat, alang alang sa mga anak mo, ilantad mo na wag Kang matakot may pera ka naman",11/20/2025,"Come out first Zaldy Co, don't wait for them to kill you that everyone won't know, for the sake of your children, expose it don't be afraid you have money",come first zaldy co dont wait kill everyone wont know sake child expose dont afraid money
S sbrang stress nya pumayat n cya kng dti mgnda awra nya ngyn bagsak n ktwan nya dhil cya iniipit mgnda n dn yn ilbas nya lht pra hndi lng cya Yung stress,11/19/2025,"He was under a lot of stress, he lost weight, he didn't look good, now his body is falling, because he is holding it in, he is getting it out, so it's not just stress.",lot stress lost weight didnt look good body falling holding getting stress
Isiwalat mo lahat po..at Magkano binigay nyo kay Brawner...,11/19/2025,Reveal everything..and How much did you give to Brawner...,reveal everythingand much give brawner
Ai ba talaga,11/19/2025,It's not really,really
Bat sbi ni ante kler AI,11/19/2025,Beat sti,beat sti
ayan na talaga tutal sabi nilaputol putol daw,11/19/2025,"after all, it is said that they are being cut to pieces",said cut piece
Hamggat c lacson at sotto ang naka upo hnd po kau dapat magtiwala.,11/19/2025,"As long as Lacson and Sotto are sitting, you shouldn't trust them.",long lacson sotto sitting shouldnt trust
ilantad mo na lahat total grabeng paninira mo Kay VP Sara dati.gumawa ka ng mabuti para mabawasan kasalanan mo,11/19/2025,Expose all of your total gross damage to VP Sara before. Do something good to reduce your guilt,expose total gross damage vp sara something good reduce guilt
Ilabas mo na ang mga evidence na hawak mo,11/19/2025,Bring out the evidence you have,bring evidence
Pwede po ba sabihin nyo rin ang toto sa pag kidnap kang FPRRD kasi eroplano mo kasi ang ginamit,11/19/2025,Can you also tell the truth about FPRRD kidnapping you because it was your plane that was used,also tell truth fprrd kidnapping plane used
Sabi ni mike defensor ipa notarized mo daw iyang mga affidavit mo sa consulate diyan kung nasaan kang country. Isiwalat mo kung paano niyo dinakip si fpprd!,11/19/2025,Mike Defensor said that you should notarize your affidavits at the consulate in your country. Reveal how you captured fpprd!,mike defensor said notarize affidavit consulate country reveal captured fpprd
Legit to na video at hindi sya AI .. mga masasamang tao tlga sa Senado sasabihin nila yang AI khit mga expert sa computer obvious nmn na legit to,11/19/2025,This video is legit and it's not AI .. the bad people in the Senate will say it's AI even computer experts obviously it's legit,video legit ai bad people senate say ai even computer expert obviously legit
Payat na d na mkatulog sa kakaisip,11/19/2025,It's too thin to fall asleep thinking about it,thin fall asleep thinking
kanta nyo lahat,11/19/2025,sing all of you,sing
Yan! Di na nila mapipigilan ang kagustuhan ng nasa taas! Slowly they’re losing their grounds! They’ll bleed in their own blades! CAN’T WAIT!,11/19/2025,That! They will no longer be able to stop the wishes of those on top! Slowly they're losing their grounds! They'll bleed in their own blades! CAN'T WAIT!,longer able stop wish top slowly theyre losing ground theyll bleed blade cant wait
Kung totoo man lahat ng cnasav mo. Sana wag ka pabayaan ni lord para maungkat lahat ng anumalyang ginawa nila,11/21/2025,If all your cnasav is true. I hope the lord doesn't leave you to dig up all the anomalous things they did,cnasav true hope lord doesnt leave dig anomalous thing
Sabhn muna lbat ng nalalaman mu isiwalat mo na lahat bka mafatay kapa nla d mu pa sabhn lahat,11/19/2025,"First of all, reveal everything you know, because you will be killed, but you have not told everything yet",first reveal everything know killed told everything yet
Tama ang kasabihan kung ano ang Puno sya ang bunga,11/19/2025,The saying is true what the tree is the fruit,saying true tree fruit
"at dinala mo kmi s napaka ganda kwento yung ky digong nmn kwento sino mastermind doon,mag ingat k sir saan k man narooon",11/19/2025,"and you brought us to a very good story, this is a great story, who is the mastermind there, be careful, sir, wherever you are",brought u good story great story mastermind careful sir wherever
Dumaan lang sayo pro mirin ka ding mga sariling insertion tamo po ba? Ang sakani ay sakanila at ang sayo ay sayo,11/19/2025,"Just pass by you pro mirin, do you also have your own insertions, right? What's mine is theirs and what's yours is yours",pas pro mirin also insertion right whats mine whats
Ilabas nyo na po lahat ng nalalaman nyo tutal nilaglag na naman nila kayo at iniwan ka sa ere,11/21/2025,"Bring out everything you know, after all, they dropped you again and left you in the air",bring everything know dropped left air
"Ping Lacson boss if ako mag aadvice sa blue ribbon, i will risk to test the testimony of zal D. Co.. ung mga nkaraang hearing useless na un, test co if totoo ba by inviting lahat ng nabanggit nya, the 3 USec, speaker Martin Romualdez, paupuin mo sa isang room.. tapos kuha ka isang tga dpwh ksi ung sunwest contractor na..",11/19/2025,"Ping Lacson boss if I am to advise on the blue ribbon, I will risk to test the testimony of Zal D. Co.. those previous hearings are useless, test co if everything he mentioned is true by inviting the 3 USec, speaker Martin Romualdez, have you sit in a room.. then get a dpwh ksi the southwest contractor..",ping lacson bos advise blue ribbon risk test testimony zal co previous hearing useless test co everything mentioned true inviting 3 usec speaker martin romualdez sit room get dpwh ksi southwest contractor
Patunayan mo daw na hindi to AI. Dami kasing bobo nagreklamo.,11/19/2025,Prove that it's not AI. So many stupid people complained.,prove ai many stupid people complained
Magiging hero kapa pag nilahad mo lahat ng kurapsyon.,11/19/2025,You will become a hero if you reveal all the corruption.,become hero reveal corruption
Atty.Niel Abayon naa na ire oh,11/19/2025,Atty.Niel Abayon that ire oh,attyniel abayon ire oh
Maalaala Mo Kaya! Ang Sumpa Mo Sa Akin,11/19/2025,You'll Remember It! You Cursed Me,youll remember cursed
"Cong. Co wag n wag ka uuwe ng pinas kung ayaw mo maging "" Zaldy Co International Airport """,11/19/2025,"Cong. Don't leave the Philippines if you don't want to be ""Zaldy Co International Airport""",cong dont leave philippine dont want zaldy co international airport
Ang hindi lng kapani-paniwala dito is ung walang napunta sa kanya.,11/19/2025,The only unbelievable thing here is that nothing happened to him.,unbelievable thing nothing happened
pare parehu lang kau.. isiwalat mo. lahat at sino mastermind,11/19/2025,you're just the same.. reveal it. everyone and anyone mastermind,youre reveal everyone anyone mastermind
Magkano kaya pinambayad ni martin sa mga active generals at sino Ang mga generals na binili ang dangal,11/19/2025,How much did Martin pay the active generals and who were the generals who bought the honor,much martin pay active general general bought honor
Bilib ako sakatapangan mo alam mo na malalagay ang buhay mo SA alanganin hinde sila ngayun titigil para patahimikin Ka buhay mo ang kapalit SA disetion mung Yan ngayun Kung ano man ang mangyari sayu alam na Ng taongbayan Kung sinu ang gagawa sayu nyan,11/19/2025,"I am impressed by your bravery, you know that your life will be in danger, they will not stop to silence you, your life is the price in exchange for just that. Whatever happens to you, the townspeople already know who will do that to you.",impressed bravery know life danger stop silence life price exchange whatever happens townspeople already know
Yan gomaan na Ang iyong kalooban dahil sa pagsisiwalat sa katotohanan.protectahan ka sana nang taong bayan para ma revail ang katotohanan.god bless u keep safe,11/19/2025,Your heart has softened because of the disclosure of the truth. I hope you will be protected by the people so that the truth can be revealed. God bless u keep safe,heart softened disclosure truth hope protected people truth revealed god bless u keep safe
Mag live kapo para maniwala sila na hindi ka ai,11/19/2025,Be live so that they believe that you are not ai,live believe ai
Pag live kol zaldy co. Giahak ba ni aron motoo mi..,11/19/2025,Live with zaldy co. Is this meant to make us believe..,live zaldy co meant make u believe
Madami na namang mauuto nito,11/19/2025,There will be a lot more to it,lot
Present po,11/19/2025,Present po,present po
Tell All na ka Zaldy,11/19/2025,Tell All of Zaldy,tell zaldy
Sana ibulgar na lahat with video...Wag naman sana pabitin,11/25/2025,I hope it will all be made public with a video...I hope you don't hang it,hope made public videoi hope dont hang
Pautang Ako saldi co,11/19/2025,Loan Ako saldi co,loan ako saldi co
Oh eto upuan para sa mga magbabasa dito sa comment section! Hahaah,11/19/2025,Oh here's a seat for those who will read here in the comment section! Hahaha,oh here seat read comment section hahaha
"Pero cguro ang KAPLIT nga yan ay Mga proyekto mo kaya naging sunodsunuran nlang.. Pero gud for you kung ikaw lang ang nilaglag,mabuti na yan para nde lang ikaw ang lalabas na MASAMA.. Sana maingatan sya!",11/19/2025,"But I guess those KAPLIT are your projects so they just followed suit.. But it's good for you if you're the only one who dropped it, that's good so you're not the only one who comes out BAD.. I hope you take care of him!",guess kaplit project followed suit good youre one dropped thats good youre one come bad hope take care
Sir zaldy co..wag na wag kayo uuwi dito sa pilipinas...for sure ikukulong ka nila .mag ingat po kayo..at pamilya mo..salamat sa pagsabi ng totoo sa taumbayan...,11/20/2025,Sir zaldy co..don't come back here to the philippines...for sure they will jail you.be careful..and your family..thanks for telling the truth to the people...,sir zaldy codont come back philippinesfor sure jail yoube carefuland familythanks telling truth people
Basta bicolano uragon,11/19/2025,Just bicolano uragon,bicolano uragon
Ang mangyari dto SA #du30 Nanaman isisi SA mga inutel? Sako Sakong ebedencia na impossible makalusot pa mga yan,11/19/2025,What happened here in #du30 will anyone blame intel? Sako Sakon evidence that it's impossible for those to get through,happened du30 anyone blame intel sako sakon evidence impossible get
Ilabas mo na kase kung saan mo tinago ang pera pra makinabang naman ang mga nabiktima ng Blood control nyo kuno,11/19/2025,Take out where you hid the money so that the victims of your supposed Blood control can benefit,take hid money victim supposed blood control benefit
"You did great sir, thank you for doing the right thing",11/19/2025,"You did great sir, thank you for doing the right thing",great sir thank right thing
Ilahad niyo narin yung pagpapadala nang sapilitan kay fprrd sa korte ng mga banyaga.,11/19/2025,Please explain the forced sending of fprrd to the foreign court.,please explain forced sending fprrd foreign court
Salamat Sir at sinabi mo ang totoo.,11/19/2025,Thank you Sir and you told the truth.,thank sir told truth
Libre kana congratulations,11/19/2025,I'm free to have a free congratulations,im free free congratulation
Boss pautang,11/19/2025,Boss loan,bos loan
panu mag withdraw ng 25billion ng walang paper trail san bank or branch,11/19/2025,how to withdraw 25 billion without a paper trail at the bank or branch,withdraw 25 billion without paper trail bank branch
Umuwi ka po para maganda ang labanan hindi ka papatayin basta may pananalig ka sa mga taong sumusuporta sau ano pa at mga multi billionaire lahat kau kung hindi nio un gagamitin sa protection nio sa buhay nio,11/19/2025,"Please go home so that the battle will be good, you will not be killed as long as you have faith in the people who support you and you are all multi billionaires if you don't use it to protect you in your life",please go home battle good killed long faith people support multi billionaire dont use protect life
HALATANG GOOGLE GEMINI AI NAMAN! WAG KAME,11/19/2025,GOOGLE GEMINI AI IS OBVIOUS! DON'T MEAT,google gemini ai obvious dont meat
parot mo lamang ...,11/19/2025,you just...,
Lola kler pasok,11/19/2025,Grandma Claire is coming,grandma claire coming
umuwi ka na... impossible na wala ka ding kinita... damay2 na yan,11/19/2025,go home... it's impossible that you didn't earn anything either... that's enough,go home impossible didnt earn anything either thats enough
Owi Kana naka handa na ang kolongan mo,11/19/2025,"Yes, your prison is ready",yes prison ready
"Umuli ka sa Pinas,patunayan mo mga sinasabi mo, hindi ung jan ka putak ng putak sa ibang bansa..",11/19/2025,"Go back to the Philippines, prove what you say, you are not the same as you are in another country..",go back philippine prove say another country
Ibulgar mo na din kung sino mastermind sa pag kidnap kay FPRRD sa hague since sayo ang plane na ginamit. Yan ang gusto namin malaman,11/19/2025,Also publicize who is the mastermind behind the kidnapping of FPRRD in the Hague since the plane that was used belongs to you. That's what we want to know,also publicize mastermind behind kidnapping fprrd hague since plane used belongs thats want know
